GAME_ID,TEAM1_ABBR,TEAM2_ABBR,GAME_NO_TEAM1,GAME_NO_TEAM2,IS_TEAM1_HOME,IS_POST_SEASON,d_PTS_H2H_per_GAME_TEAM1
1,MIL,MIA,80,80,1,1,-5
2,MIL,MIA,81,81,1,1,-5
3,MIL,MIA,82,82,0,1,-5
4,MIL,MIA,83,83,0,1,-5
5,MIL,MIA,84,84,1,1,-5
6,MIL,MIA,85,85,0,1,-5
7,MIL,MIA,86,86,1,1,-5
8,TOR,BOS,78,79,1,1,-2
9,TOR,BOS,79,80,1,1,-2
10,TOR,BOS,80,81,0,1,-2
11,TOR,BOS,81,82,0,1,-2
12,TOR,BOS,82,83,1,1,-2
13,TOR,BOS,83,84,0,1,-2
14,TOR,BOS,84,85,1,1,-2
15,LAL,HOU,78,81,1,1,-0.5
16,LAL,HOU,79,82,1,1,-0.5
17,LAL,HOU,80,83,0,1,-0.5
18,LAL,HOU,81,84,0,1,-0.5
19,LAL,HOU,82,85,1,1,-0.5
20,LAL,HOU,83,86,0,1,-0.5
21,LAL,HOU,84,87,1,1,-0.5
22,LAC,DEN,80,82,1,1,9.5
23,LAC,DEN,81,83,1,1,9.5
24,LAC,DEN,82,84,0,1,9.5
25,LAC,DEN,83,85,0,1,9.5
26,LAC,DEN,84,86,1,1,9.5
27,LAC,DEN,85,87,0,1,9.5
28,LAC,DEN,86,88,1,1,9.5
