,SEASON,TEAM_ID,TEAM_ABBR,IsHomeTeam,WINS,WINS_HOME,GAMES,PTS,PTS_opp,d_PTS_per_GAME,WIN_PCT_TOTAL,WIN_PCT_HOME_GMS,WIN_PCT_AWAY_GMS
133,2007,1610612751,BKN,41,34,21,82,7857,8272,-5.060975609756097,0.4146341463414634,0.5121951219512195,0.3170731707317073
134,2007,1610612752,NYK,41,23,15,82,7948,8490,-6.609756097560975,0.2804878048780488,0.36585365853658536,0.1951219512195122
135,2007,1610612753,ORL,41,52,25,82,8567,8119,5.463414634146342,0.6341463414634146,0.6097560975609756,0.6585365853658537
136,2007,1610612754,IND,41,36,21,82,8527,8642,-1.4024390243902438,0.43902439024390244,0.5121951219512195,0.36585365853658536
137,2007,1610612755,PHI,41,40,22,82,7923,7889,0.4146341463414634,0.4878048780487805,0.5365853658536586,0.43902439024390244
138,2007,1610612756,PHX,41,55,30,82,9026,8612,5.048780487804878,0.6707317073170732,0.7317073170731707,0.6097560975609756
139,2007,1610612757,POR,41,41,28,82,7820,7900,-0.975609756097561,0.5,0.6829268292682927,0.3170731707317073
140,2007,1610612758,SAC,41,38,26,82,8408,8593,-2.2560975609756095,0.4634146341463415,0.6341463414634146,0.2926829268292683
141,2007,1610612759,SAS,41,56,34,82,7820,7427,4.7926829268292686,0.6829268292682927,0.8292682926829268,0.5365853658536586
142,2007,1610612760,OKC,41,20,13,82,7999,8717,-8.75609756097561,0.24390243902439024,0.3170731707317073,0.17073170731707318
143,2007,1610612761,TOR,41,41,25,82,8215,7977,2.902439024390244,0.5,0.6097560975609756,0.3902439024390244
144,2007,1610612762,UTA,41,54,37,82,8710,8146,6.878048780487805,0.6585365853658537,0.9024390243902439,0.4146341463414634
145,2007,1610612763,MEM,41,22,14,82,8257,8766,-6.2073170731707314,0.2682926829268293,0.34146341463414637,0.1951219512195122
146,2007,1610612764,WAS,41,43,25,82,8104,8131,-0.32926829268292684,0.524390243902439,0.6097560975609756,0.43902439024390244
147,2007,1610612765,DET,41,59,34,82,7992,7386,7.390243902439025,0.7195121951219512,0.8292682926829268,0.6097560975609756
148,2007,1610612766,CHA,41,32,21,82,7959,8318,-4.378048780487805,0.3902439024390244,0.5121951219512195,0.2682926829268293
149,2008,1610612737,ATL,41,47,31,82,8046,7917,1.5731707317073171,0.573170731707317,0.7560975609756098,0.3902439024390244
150,2008,1610612738,BOS,41,62,35,82,8275,7659,7.512195121951219,0.7560975609756098,0.8536585365853658,0.6585365853658537
151,2008,1610612739,CLE,41,66,39,82,8223,7491,8.926829268292684,0.8048780487804879,0.9512195121951219,0.6585365853658537
152,2008,1610612740,NOP,41,49,28,82,7857,7730,1.548780487804878,0.5975609756097561,0.6829268292682927,0.5121951219512195
153,2008,1610612741,CHI,41,41,28,82,8378,8401,-0.2804878048780488,0.5,0.6829268292682927,0.3170731707317073
154,2008,1610612742,DAL,41,50,32,82,8343,8181,1.975609756097561,0.6097560975609756,0.7804878048780488,0.43902439024390244
155,2008,1610612743,DEN,41,54,33,82,8555,8275,3.4146341463414633,0.6585365853658537,0.8048780487804879,0.5121951219512195
156,2008,1610612744,GSW,41,29,21,82,8905,9212,-3.7439024390243905,0.35365853658536583,0.5121951219512195,0.1951219512195122
157,2008,1610612745,HOU,41,53,33,82,8070,7742,4.0,0.6463414634146342,0.8048780487804879,0.4878048780487805
158,2008,1610612746,LAC,41,19,11,82,7799,8518,-8.768292682926829,0.23170731707317074,0.2682926829268293,0.1951219512195122
159,2008,1610612747,LAL,41,65,36,82,8768,8140,7.658536585365853,0.7926829268292683,0.8780487804878049,0.7073170731707317
160,2008,1610612748,MIA,41,43,28,82,8061,8040,0.25609756097560976,0.524390243902439,0.6829268292682927,0.36585365853658536
161,2008,1610612749,MIL,41,34,22,82,8142,8231,-1.0853658536585367,0.4146341463414634,0.5365853658536586,0.2926829268292683
162,2008,1610612750,MIN,41,24,11,82,8019,8422,-4.914634146341464,0.2926829268292683,0.2682926829268293,0.3170731707317073
163,2008,1610612751,BKN,41,34,19,82,8044,8244,-2.4390243902439024,0.4146341463414634,0.4634146341463415,0.36585365853658536
164,2008,1610612752,NYK,41,32,20,82,8627,8841,-2.6097560975609757,0.3902439024390244,0.4878048780487805,0.2926829268292683
165,2008,1610612753,ORL,41,59,32,82,8286,7737,6.695121951219512,0.7195121951219512,0.7804878048780488,0.6585365853658537
166,2008,1610612754,IND,41,36,25,82,8617,8708,-1.1097560975609757,0.43902439024390244,0.6097560975609756,0.2682926829268293
167,2008,1610612755,PHI,41,41,24,82,7987,7981,0.07317073170731707,0.5,0.5853658536585366,0.4146341463414634
168,2008,1610612756,PHX,41,46,28,82,8974,8816,1.9268292682926829,0.5609756097560976,0.6829268292682927,0.43902439024390244
169,2008,1610612757,POR,41,54,34,82,8153,7715,5.341463414634147,0.6585365853658537,0.8292682926829268,0.4878048780487805
170,2008,1610612758,SAC,41,17,11,82,8248,8966,-8.75609756097561,0.2073170731707317,0.2682926829268293,0.14634146341463414
171,2008,1610612759,SAS,41,54,28,82,7958,7650,3.7560975609756095,0.6585365853658537,0.6829268292682927,0.6341463414634146
172,2008,1610612760,OKC,41,23,15,82,7952,8452,-6.097560975609756,0.2804878048780488,0.36585365853658536,0.1951219512195122
173,2008,1610612761,TOR,41,33,18,82,8121,8352,-2.817073170731707,0.4024390243902439,0.43902439024390244,0.36585365853658536
174,2008,1610612762,UTA,41,48,33,82,8492,8275,2.6463414634146343,0.5853658536585366,0.8048780487804879,0.36585365853658536
175,2008,1610612763,MEM,41,24,16,82,7698,8146,-5.463414634146342,0.2926829268292683,0.3902439024390244,0.1951219512195122
176,2008,1610612764,WAS,41,19,13,82,7877,8489,-7.463414634146342,0.23170731707317074,0.3170731707317073,0.14634146341463414
177,2008,1610612765,DET,41,39,21,82,7727,7767,-0.4878048780487805,0.47560975609756095,0.5121951219512195,0.43902439024390244
178,2008,1610612766,CHA,41,35,23,82,7677,7781,-1.2682926829268293,0.4268292682926829,0.5609756097560976,0.2926829268292683
179,2009,1610612737,ATL,41,53,34,82,8338,7956,4.658536585365853,0.6463414634146342,0.8292682926829268,0.4634146341463415
180,2009,1610612738,BOS,41,50,24,82,8136,7836,3.658536585365854,0.6097560975609756,0.5853658536585366,0.6341463414634146
181,2009,1610612739,CLE,41,61,35,82,8373,7838,6.524390243902439,0.7439024390243902,0.8536585365853658,0.6341463414634146
182,2009,1610612740,NOP,41,37,24,82,8220,8422,-2.4634146341463414,0.45121951219512196,0.5853658536585366,0.3170731707317073
183,2009,1610612741,CHI,41,41,24,82,7993,8127,-1.6341463414634145,0.5,0.5853658536585366,0.4146341463414634
184,2009,1610612742,DAL,41,55,28,82,8364,8141,2.7195121951219514,0.6707317073170732,0.6829268292682927,0.6585365853658537
185,2009,1610612743,DEN,41,53,34,82,8729,8394,4.085365853658536,0.6463414634146342,0.8292682926829268,0.4634146341463415
186,2009,1610612744,GSW,41,26,18,82,8922,9217,-3.597560975609756,0.3170731707317073,0.43902439024390244,0.1951219512195122
187,2009,1610612745,HOU,41,42,23,82,8395,8425,-0.36585365853658536,0.5121951219512195,0.5609756097560976,0.4634146341463415
