TEAM_ABBR,d_PTS_per_GAME_TEAM1,c_WIN_pct_TEAM1,c_WIN_pct_at_HOME_TEAM1,c_WIN_pct_at_AWAY_TEAM1,c_FGM_per_GAME_TEAM1,c_FGA_per_GAME_TEAM1,c_PTS_per_GAME_TEAM1,c_PTS_opp_per_GAME_TEAM1,c_OFF_EFF_TEAM1,c_DEF_EFF_TEAM1,r_WIN_pct_L3_TEAM1,r_WIN_pct_L8_TEAM1
ATL,-7.612903225806452,0.3064516129032258,0.41935483870967744,0.1935483870967742,40.516129032258064,90.08064516129032,111.5,119.11290322580645,109.05579921289257,116.5018193529888,0.0,0.0
BKN,-0.5932203389830508,0.4406779661016949,0.5517241379310345,0.3333333333333333,40.08474576271186,90.22033898305085,110.64406779661017,111.23728813559322,110.16070502851218,110.75133380853637,0.0,0.0
BOS,6.796610169491525,0.6949152542372882,0.7931034482758621,0.6,41.28813559322034,89.27118644067797,113.35593220338983,106.55932203389831,115.85391541888119,108.90753083709721,0.0,0.0
CHA,-7.516666666666667,0.35,0.32142857142857145,0.375,37.083333333333336,86.18333333333334,101.95,109.46666666666667,107.73129205694383,115.67420732875708,0.0,0.0
CHI,-3.183333333333333,0.3333333333333333,0.3870967741935484,0.27586206896551724,39.38333333333333,88.35,106.85,110.03333333333333,109.30615297991999,112.5626613591377,0.0,0.0
CLE,-8.233333333333333,0.2833333333333333,0.28125,0.2857142857142857,40.21666666666667,88.06666666666666,106.5,114.73333333333333,109.0237694338708,117.45221107711528,0.0,0.0
DAL,6.147540983606557,0.6065573770491803,0.5333333333333333,0.6774193548387096,41.557377049180324,89.80327868852459,116.55737704918033,110.40983606557377,119.64244174776101,113.33218638131792,0.0,0.0
DEN,3.5,0.6833333333333333,0.7741935483870968,0.5862068965517241,41.88333333333333,89.1,110.9,107.4,115.14392887282297,111.50999063066894,0.0,0.0
DET,-3.096774193548387,0.3225806451612903,0.3548387096774194,0.2903225806451613,39.46774193548387,85.83870967741936,107.6774193548387,110.7741935483871,111.5615461454383,114.77002680150844,0.0,0.0
GSW,-9.081967213114755,0.21311475409836064,0.22580645161290322,0.2,38.47540983606557,88.36065573770492,105.8688524590164,114.95081967213115,107.08573969482987,116.27209766803142,0.0,0.0
HOU,4.745762711864407,0.6610169491525424,0.7241379310344828,0.6,41.40677966101695,90.98305084745763,118.8135593220339,114.0677966101695,116.6802488468463,112.01969682443303,0.0,0.0
IND,2.2333333333333334,0.6,0.6774193548387096,0.5172413793103449,42.15,88.55,109.33333333333333,107.1,113.42008586730404,111.10327313769753,0.0,0.0
LAC,6.2,0.6833333333333333,0.8064516129032258,0.5517241379310345,41.78333333333333,89.88333333333334,116.21666666666667,110.01666666666667,115.79941820299761,109.62167783708408,0.0,0.0
LAL,7.406779661016949,0.7796610169491526,0.75,0.8064516129032258,43.067796610169495,88.62711864406779,114.50847457627118,107.10169491525424,115.82455562870308,108.3326475751591,0.0,0.0
MEM,-2.25,0.48333333333333334,0.5483870967741935,0.41379310344827586,42.833333333333336,91.21666666666667,112.45,114.7,111.98842849312275,114.22919295830307,0.0,0.0
MIA,3.283333333333333,0.6333333333333333,0.8620689655172413,0.41935483870967744,39.833333333333336,84.75,112.78333333333333,109.5,116.00550216136749,112.62836547956027,0.0,0.0
MIL,12.733333333333333,0.8666666666666667,0.9,0.8333333333333334,43.833333333333336,91.23333333333333,119.58333333333333,106.85,116.69016408117044,104.26489782918237,0.0,0.0
MIN,-4.305084745762712,0.288135593220339,0.2413793103448276,0.3333333333333333,40.152542372881356,91.72881355932203,112.84745762711864,117.15254237288136,109.85580476884411,114.04675917126022,0.0,0.0
NOP,-1.05,0.43333333333333335,0.4,0.4666666666666667,42.416666666666664,91.78333333333333,115.81666666666666,116.86666666666666,113.37289131969244,114.40073592368446,0.0,0.0
NYK,-6.783333333333333,0.3,0.3103448275862069,0.2903225806451613,39.68333333333333,89.43333333333334,105.06666666666666,111.85,107.88727149256836,114.85270923011204,0.0,0.0
OKC,2.35,0.6166666666666667,0.625,0.6071428571428571,40.266666666666666,85.26666666666667,110.83333333333333,108.48333333333333,114.62456370271332,112.19417821668587,0.0,0.0
ORL,-1.2666666666666666,0.45,0.5333333333333333,0.36666666666666664,38.85,88.76666666666667,105.26666666666667,106.53333333333333,109.7047046713222,111.02477394855788,0.0,0.0
PHI,2.0655737704918034,0.6065573770491803,0.9333333333333333,0.2903225806451613,40.704918032786885,87.75409836065573,109.06557377049181,107.0,112.82647603418448,110.68967519541893,0.0,0.0
PHX,-1.360655737704918,0.39344262295081966,0.34375,0.4482758620689655,40.721311475409834,87.88524590163935,111.9672131147541,113.32786885245902,113.1382121578356,114.51309819137884,0.0,0.0
POR,-2.360655737704918,0.4262295081967213,0.5517241379310345,0.3125,41.67213114754098,91.21311475409836,113.04918032786885,115.40983606557377,114.23222164973592,116.61758126655175,0.0,0.0
SAC,-2.0,0.43333333333333335,0.4642857142857143,0.40625,40.13333333333333,87.98333333333333,108.3,110.3,111.87720655321513,113.94326761606305,0.0,0.0
SAS,-1.6379310344827587,0.43103448275862066,0.5357142857142857,0.3333333333333333,42.05172413793103,89.6896551724138,112.86206896551724,114.5,114.61085674714428,116.27416737821346,0.0,0.0
TOR,6.366666666666666,0.7,0.71875,0.6785714285714286,40.68333333333333,88.83333333333333,112.8,106.43333333333334,114.62892746346509,108.15903232589952,0.0,0.0
UTA,3.0508474576271185,0.6271186440677966,0.7,0.5517241379310345,40.20338983050848,84.89830508474576,111.28813559322033,108.23728813559322,115.29667664616822,112.13593924191751,0.0,0.0
